team_size,team_members_absent_same_period,team_critical_employees_absent,is_critical_period,duration_days,employee_seniority_months,absences_last_6_months,late_arrivals_last_30_days,approved_requests_last_year,rejected_requests_last_year,anomaly_score_last_30_days,days_until_period_end,start_date,approved,request_id,request_type,employee_id,employee_department,end_date
6,4,2,False,5,4,8,9,2,5,0.8537289373746292,3,2026-05-23,0,10000,CONGE,1167,Support,2026-05-27
6,0,0,False,4,83,1,2,6,0,0.09089548871391076,2,2026-06-29,1,10001,TELETRAVAIL,1177,Engineering,2026-07-02
4,3,2,True,3,34,7,9,2,5,0.5875874185333854,2,2026-05-20,0,10002,TELETRAVAIL,1099,Engineering,2026-05-22
10,1,0,False,4,55,3,1,5,1,0.18782232451032319,11,2026-06-29,1,10003,AUTORISATION,1037,Support,2026-07-02
5,0,0,False,2,75,2,2,6,0,0.2801060408008997,24,2026-06-04,1,10004,CONGE,1062,Finance,2026-06-05
7,6,2,False,6,23,5,8,0,5,0.8541159698759622,0,2026-05-22,0,10005,AUTORISATION,1132,Support,2026-05-27
7,5,2,True,9,9,4,5,2,4,0.7543562479165349,3,2026-05-23,0,10006,CONGE,1152,Support,2026-05-31
7,1,1,True,10,7,3,2,6,1,0.46341145748985446,9,2026-05-21,1,10007,AUTORISATION,1006,Sales,2026-05-30
10,0,0,False,2,62,2,0,6,1,0.265725416130955,23,2026-06-29,1,10008,TELETRAVAIL,1081,Support,2026-06-30
10,0,0,False,1,27,3,2,7,0,0.06450871161344073,27,2026-05-22,1,10009,TELETRAVAIL,1187,Engineering,2026-05-22
5,3,1,True,11,23,8,4,3,2,0.5531026559542319,2,2026-05-20,0,10010,AUTORISATION,1073,Operations,2026-05-30
5,2,2,False,6,26,10,5,2,3,0.5433759329690747,3,2026-05-26,0,10011,AUTORISATION,1025,Support,2026-05-31
10,0,0,False,3,73,0,1,8,0,0.2877851823803747,22,2026-06-24,1,10012,TELETRAVAIL,1086,Sales,2026-06-26
7,1,1,True,11,28,5,0,2,2,0.4319444849331141,6,2026-05-21,1,10013,CONGE,1135,Engineering,2026-05-31
